,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number
frame1,1,0.25333803551990297,-0.07656829772742763,2.9910666666666668,3.223365171673761,2.0983197352339436,2
frame2,2,0.2440764373657819,-0.07914042792816203,2.9810666666666665,3.2175774159379893,2.0790022844056786,2
frame3,3,0.40031806803361614,-0.1351495076057769,2.9566666666666666,3.356984734700283,1.9711911086991583,2
frame4,4,0.7411830460106393,-0.2501924333125766,2.9478000000000004,3.6889830460106388,1.7884099936702653,2
frame5,5,0.6558361348093164,-0.22205213627051965,2.9422666666666677,3.598102801475983,1.8253089012857215,2
frame6,6,0.6178929155735787,-0.20760993805897404,2.959375,3.5772679155735787,1.8515023436399558,2
frame7,7,0.6669386131177267,-0.22663953588624106,2.9264666666666677,3.593405279784393,1.8226912678724032,2
frame8,8,0.6704530298177402,-0.22685639390986845,2.9242,3.5946530298177404,1.8061266439585086,2
frame9,9,0.5382198151894012,-0.18291392985752436,2.9113333333333333,3.449553148522734,1.8788746962195955,2
frame10,10,0.4657894781275126,-0.15919450385839934,2.880357142857143,3.344114641732444,1.9174935352906766,2
frame11,11,0.3857620423641585,-0.12311393107128712,2.8817142857142857,3.2409522998020632,1.9741328887074896,2
frame12,12,0.34467351372099714,-0.1075381900605584,2.884428571428572,3.197820276754839,1.9976557456591297,2
frame13,13,0.29408754312781366,-0.08624167317599891,2.8708571428571426,3.1206993711605726,2.037391831110153,2
frame14,14,0.3128574602386028,-0.09826697348360258,2.8717142857142854,3.1566016891863167,2.025303762167621,2
frame15,15,0.43284149538568145,-0.14919317327770198,2.8706000000000005,3.303441495385682,1.9192351442133186,2
frame16,16,0.4068932342548978,-0.1385597755495455,2.8496,3.248379810852498,1.9276226897976894,2
frame17,17,0.5504955391155107,-0.17775922809945927,2.8736875000000004,3.4056842285721682,1.8541296158194878,2
frame18,18,0.5982728974814173,-0.19278826553975775,2.8650625,3.4412289190409506,1.8341675692123984,2
frame19,19,0.6362487028101704,-0.21508502809904909,2.850625,3.48687370281017,1.772924636388545,2
frame20,20,0.38366686201013234,-0.1356755442448151,2.804933333333333,3.188600195343466,1.883064060872025,2
frame21,21,0.4395725522619707,-0.15211895730684807,2.8038000000000003,3.238588974351463,1.8579646693496694,2
frame22,22,0.6730058579343343,-0.2292142408474594,2.8249411764705883,3.497947034404923,1.7375499315927718,2
frame23,23,0.5270113077268743,-0.1820524262774732,2.7971250000000003,3.3241363077268744,1.7868907721097118,2
frame24,24,0.6500934783840876,-0.2254325157577245,2.7936,3.4436934783840885,1.7226803066330107,2
frame25,25,0.6908334433187313,-0.24020294859048372,2.810375,3.5012084433187316,1.695593339841481,2
frame26,26,0.7597429471686565,-0.26375790562519164,2.82725,3.5869929471686564,1.6649802475809525,2
frame27,27,0.706829726426245,-0.2476900675214302,2.7997500000000004,3.506579726426245,1.677585892610884,2
frame28,28,0.573116682433485,-0.20277032298132247,2.77825,3.3513666824334853,1.7285401410082717,2
frame29,29,0.4513783288556169,-0.16087176643452164,2.7734000000000005,3.2247783288556175,1.8026151511499655,2
