,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number
frame1,1,0.21095248149887108,0.07058130609377013,2.997533333333334,2.786580851834462,1.0757029825134978,2
frame2,2,0.21848921603037097,0.07310601230488993,2.9877333333333334,2.7692441173029625,1.0788985032649137,2
frame3,3,0.25326923785817157,0.08500517140032819,2.9625333333333335,2.7092640954751617,1.093482668700023,2
frame4,4,0.3046870490076609,0.10291347041707892,2.9563333333333337,2.6516462843256723,1.114904861485002,2
frame5,5,0.30759382363264887,0.10401554496076525,2.951466666666667,2.6438728430340177,1.1163421396921893,2
frame6,6,0.34353561024006335,0.11614515282659842,2.9569333333333336,2.61339772309327,1.1314517140672518,2
frame7,7,0.27846919730000186,0.09492003884369643,2.9366000000000003,2.6581308026999984,1.1047612845150987,2
frame8,8,0.28279893040270576,0.09639568297837826,2.9352,2.6524010695972944,1.1066199729913553,2
frame9,9,0.3139205791678274,0.10756503951507898,2.918333333333334,2.6044127541655056,1.1205341122161772,2
frame10,10,0.31178273819296354,0.10778919270969238,2.890714285714286,2.5789315475213224,1.1208960891159077,2
frame11,11,0.30721488461515134,0.10559199705853076,2.905230769230769,2.598015884615618,1.118249809954724,2
frame12,12,0.3339467469799586,0.11571728610928096,2.8854285714285717,2.551481824448613,1.1308834512478356,2
frame13,13,0.2938241495813274,0.10139279273822711,2.890923076923077,2.5970989273417495,1.1131355245993921,2
frame14,14,0.2584773649978777,0.0887427725512629,2.9105833333333333,2.6521059683354555,1.0974611754145354,2
frame15,15,0.31427966459712464,0.10948539839209401,2.8721999999999994,2.5579203354028754,1.1228653059469205,2
frame16,16,0.2578190759762214,0.09021973370600193,2.863,2.6051809240237787,1.0989639811955985,2
frame17,17,0.30358875614477226,0.10668182162137924,2.8503333333333334,2.546744577188561,1.1192065976557077,2
frame18,18,0.3511218963826356,0.12255188602380429,2.868125,2.5170031036173643,1.1394999854700272,2
frame19,19,0.42673123563601956,0.14981817755782018,2.8461250000000002,2.4193937643639805,1.1763794062469202,2
frame20,20,0.3773892288463799,0.13243325995393185,2.8352352941176475,2.457846065271267,1.1535446967891088,2
frame21,21,0.366115771835738,0.13035175835525814,2.8038000000000003,2.437684228164262,1.1501899908141293,2
frame22,22,0.3628359624931833,0.12764026599242928,2.8275,2.464664037506817,1.1472151810435864,2
frame23,23,0.4002687901723672,0.14108264555151742,2.8192500000000003,2.418981209827633,1.1654699873426833,2
frame24,24,0.3917199773330021,0.1417605529112921,2.763000000000001,2.3712800226669972,1.1651934708632314,2
frame25,25,0.39272513798139835,0.14018165184910783,2.7896,2.3968748620186013,1.1638488284076096,2
frame26,26,0.3204185617138318,0.11418306840459123,2.7924,2.4719814382861687,1.1296201325589155,2
frame27,27,0.39245400703799793,0.13830562874868313,2.8106875000000002,2.418233492962002,1.162289542420197,2
frame28,28,0.36696637664837567,0.13110328685471387,2.7854000000000005,2.418433623351625,1.1517372125102237,2
frame29,29,0.31927885522584937,0.11311592015957014,2.7932666666666672,2.473987811440817,1.129054336383293,2
frame30,30,0.3129797013744073,0.11200213901186891,2.7731333333333335,2.460153631958926,1.1272195757649466,2
frame31,31,0.334484807035083,0.11924199373194472,2.7774375,2.4429526929649175,1.1369182497877728,2
frame32,32,0.3302803141025439,0.11654844151475025,2.7878125000000002,2.4577051476837815,1.1343152788801059,2
frame33,33,0.32736953062494134,0.11521175968804868,2.7602666666666673,2.4376121443050587,1.1323649962589084,2
frame34,34,0.34630635798665044,0.11909216728520311,2.803,2.4613301657469933,1.138815116723405,2
frame35,35,0.35186051548712455,0.11905981105436132,2.7917647058823527,2.450832570090596,1.1391087012439833,2
frame36,36,0.4315915566477141,0.15147005749516712,2.7975882352941177,2.365996678646404,1.1824142698689792,2
frame37,37,0.36714065819710273,0.12501278091753942,2.7993750000000004,2.440477032476309,1.1470605798570142,2
frame38,38,0.36440926551130537,0.12430537808336684,2.792705882352941,2.4378307562026453,1.1455700422383204,2
frame39,39,0.4229127937175653,0.14473623571970554,2.8064705882352943,2.389489607854781,1.1745062958256043,2
frame40,40,0.39350197528416264,0.13523668820018037,2.7994375,2.4104265269340015,1.1613867789452226,2
frame41,41,0.47678156817263767,0.16647489159256387,2.8051176470588235,2.3283360788861858,1.204773517232408,2
frame42,42,0.45933371476627755,0.15751440822210067,2.8131764705882354,2.356901592008244,1.1935909755957241,2
frame43,43,0.48887207853419334,0.17097833841211751,2.7953125,2.3064404214658065,1.2119595520371178,2
frame44,44,0.4299719742773118,0.14917745064579377,2.79825,2.371217444985233,1.1800900022551186,2
frame45,45,0.4899893144566012,0.1731349240094875,2.7850625,2.295073185543399,1.213496161056227,2
frame46,46,0.4888350634412274,0.17123149087264972,2.8015882352941173,2.3127531718528904,1.2113649953616066,2
frame47,47,0.48542890021411134,0.17153056861781432,2.7870624999999998,2.3016335997858888,1.2109062451379178,2
frame48,48,0.5301156641007765,0.18608399794137992,2.8066470588235295,2.276531394722753,1.2328611260664546,2
frame49,49,0.37467564061685366,0.131315523467675,2.798705882352941,2.4240302417360873,1.1545672302951597,2
frame50,50,0.4147051837968994,0.14209577062072976,2.835235294117647,2.4205301103207475,1.1713282483157983,2
frame51,51,0.4962529466560567,0.1721763934037639,2.8228235294117647,2.326570582755708,1.213298040615759,2
frame52,52,0.46368647102132576,0.16226300988238912,2.809,2.3453135289786737,1.1977076690566189,2
frame53,53,0.51685766502962,0.18027420705049285,2.8151176470588233,2.2982599820292036,1.2248908605079876,2
frame54,54,0.48730262097207844,0.16898185082577005,2.831058823529412,2.3437562025573335,1.2079152347161235,2
frame55,55,0.4616670632196165,0.15950366161421928,2.8331176470588235,2.371450583839207,1.1946770750214035,2
frame56,56,0.4833870007744028,0.16666771696512583,2.8368823529411764,2.3534953521667736,1.2053911006577374,2
frame57,57,0.511466259943956,0.17494492402783196,2.857764705882353,2.3462984459383973,1.217988577211624,2
frame58,58,0.5192235820422111,0.1773949871613773,2.860941176470588,2.3417175944283777,1.2217276683053468,2
frame59,59,0.5222948456055243,0.16353654457959096,2.8888235294117646,2.403575242958796,1.2018860395048956,2
frame60,60,0.5254527485978203,0.17677825563057126,2.901411764705882,2.375959016108062,1.2211539614258742,2
frame61,61,0.4649392194697306,0.12874816928742086,2.913294117647059,2.523514360618277,1.1544591000200544,2
frame62,62,0.44907640304383695,0.10042745695369812,2.9246470588235294,2.618407241611423,1.1169565269853288,2
frame63,63,0.5457064573998981,0.18105835184599206,2.9470666666666663,2.4013602092667687,1.2272488963938166,2
frame64,64,0.5372788887514902,0.17701219260759649,2.9656,2.42832111124851,1.2212552887930257,2
frame65,65,0.5412612680808075,0.1631278711632481,2.99275,2.4982953431124555,1.1979168148596624,2
frame66,66,0.5652865880762552,0.1835818146004724,3.0139411764705883,2.448654588394333,1.2308559936364618,2
frame67,67,0.6061782527248589,0.173360961609993,3.032,2.5040287251459468,1.2108487293105157,2
frame68,68,0.538788806006621,0.1736876719539125,3.0454375000000002,2.506648693993379,1.214943883958573,2
frame69,69,0.6262122309828839,0.19880245982630013,3.0764375,2.450225269017116,1.25557332988982,2
frame70,70,0.5854398957894562,0.15350238205673475,3.0852500000000003,2.6007708050393794,1.1862829258240943,2
frame71,71,0.6922382727334386,0.12255429275996915,3.1124117647058824,2.716828657693668,1.145604731418001,2
frame72,72,0.5930430867141013,0.12850504417971753,3.112352941176471,2.7014605516491956,1.1521000887006965,2
frame73,73,0.6751241908911179,0.10141322994160212,3.130235294117647,2.814922784161032,1.1120146214066018,2
frame74,74,0.5504074577660335,0.1103723821740943,3.1381176470588237,2.78822419766603,1.1254897112239695,2
frame75,75,0.480868295279211,0.10156794569079668,3.144823529411765,2.819379228794035,1.11543119041738,2
frame76,76,0.6527253160387744,0.05961137381793137,3.1544117647058822,2.9691009348776864,1.0624131122156781,2
frame77,77,0.4675251831166274,0.08465743380553822,3.1606875,2.8899299338169686,1.0936900106174614,2
frame78,78,0.49465021324098557,0.086074584637156,3.1748125,2.8981153479491857,1.0954748582545604,2
frame79,79,0.5260371908086817,0.09344769153912111,3.188625,2.8852222719770175,1.1051574885476967,2
frame80,80,0.5101049528552897,0.10545852453558126,3.2200625,2.8700019709241165,1.1219722260201679,2
frame81,81,0.7257041224156304,0.05994781670803381,3.2295,3.0260510178815765,1.067232502332644,2
frame82,82,0.5829604581764505,0.07884778390284139,3.2345625,2.9767324188233495,1.0866151352893743,2
frame83,83,0.7443998550964672,0.05554801350505177,3.2525625,3.069952550827473,1.0594829874889453,2
frame84,84,0.6372071523052169,0.0792976693708079,3.2754117647058827,3.0062708310387536,1.0895265093511661,2
frame85,85,0.6475507077262028,0.04664228708136027,3.304470588235294,3.147265810745551,1.0499496346806827,2
frame86,86,0.6429407854361443,0.06258548809028028,3.2870625,3.0712492033072882,1.0702688979000181,2
frame87,87,0.5212689558545139,0.10029649571093018,3.3413529411764706,3.004490706973902,1.1121195793419023,2
frame88,88,0.6038768424971026,0.05447600589948406,3.339823529411764,3.1572699858666566,1.0578200611168187,2
frame89,89,0.5033626848246099,0.07212259588325301,3.359470588235294,3.1144475087133645,1.078673048377416,2
frame90,90,0.6453549061976328,0.03012726873411286,3.3722352941176474,3.268762642589821,1.0316549908456631,2
frame91,91,0.7541509353850263,0.027879424294402377,3.428294117647059,3.352223670573383,1.0226925332403802,2
frame92,92,0.6892911662359682,0.05637586742549803,3.4240000000000004,3.234953471101727,1.058438716533963,2
frame93,93,0.4978779679664055,0.14148385960870608,3.4548750000000004,2.9569970320335943,1.1683728331725798,2
frame94,94,0.7237656749535855,0.0986337609312663,3.500823529411765,3.1645144241888072,1.1062751057957865,2
frame95,95,0.6805617101859236,0.0743467054962063,3.5158235294117643,3.27087969459849,1.074886225628467,2
frame96,96,0.6145148446739291,0.0787022911521275,3.5031764705882353,3.23492424394434,1.0829238048297587,2
frame97,97,0.6520154586730303,0.09135661011100113,3.56435294117647,3.2550363476953814,1.0950270781768965,2
frame98,98,0.5225484835624498,0.08738875833546245,3.5646470588235295,3.2627049935153756,1.0925434772399785,2
frame99,99,0.4745277318679146,0.13047382351650305,3.594294117647059,3.119766385779144,1.1521036107161609,2
frame100,100,0.570906780807303,0.10676964928161967,3.5997058823529406,3.2162489982226248,1.1192248747973876,2
frame101,101,0.5914485012422559,0.16148016382039504,3.60675,3.0153014987577444,1.1961490423050307,2
frame102,102,0.5180577349691206,0.13560995634585893,3.6388125000000002,3.1393982326497003,1.1590796166464,2
frame103,103,0.5026286700686441,0.13435046158284536,3.65175,3.14919671267272,1.1595814212891018,2
