,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number,,
frame1,1,0.305358189600864,0.102125692342606,2.99753333333333,2.69217514373247,1.11342434028178,2,,
frame2,2,0.329849264739584,0.11041807767058,2.98773333333333,2.65788406859375,1.12410220168636,2,,
frame3,3,0.347135944706764,0.116733144020238,2.96253333333333,2.61539738862657,1.13272780121917,2,,
frame4,4,0.329225316496416,0.111240610168819,2.95633333333333,2.62710801683692,1.12531853063766,2,,0.425661429306168
frame5,5,0.392888240445797,0.132957781952755,2.95146666666667,2.55857842622087,1.15355723960594,2,,
frame6,6,0.41078681385045,0.138926256662431,2.95693333333333,2.54614651948288,1.16133667513128,2,,
frame7,7,0.42027068280387,0.143251602403378,2.9366,2.51632931719613,1.16701736133336,2,,
frame8,8,0.396913720557863,0.1353341590203,2.9352,2.53828627944214,1.15637074658304,2,,
frame9,9,0.488139775032991,0.167327305304722,2.91833333333333,2.43019355830034,1.20086456626706,2,,
frame10,10,0.339600424742026,0.117441181190063,2.89071428571429,2.55111386097226,1.13311848990252,2,,
frame11,11,0.44055662071337,0.151539420933613,2.90523076923077,2.4646741485174,1.17874842440263,2,,
frame12,12,0.445451529589661,0.154411709992142,2.88542857142857,2.43997704183891,1.18256382004887,2,,
frame13,13,0.363895788334788,0.125668663978114,2.89092307692308,2.52702728858829,1.14400152700293,2,,
frame14,14,0.410616520636218,0.141041600057601,2.91058333333333,2.49996681269711,1.16424878864421,2,,
frame15,15,0.484556431756048,0.168844977796379,2.8722,2.38764356824395,1.20294336985668,2,,
frame16,16,0.385354223847777,0.134816531279624,2.863,2.47764577615222,1.15553241208121,2,,
frame17,17,0.490969693626414,0.172504592828098,2.85033333333333,2.35936363970692,1.20809411714398,2,,
frame18,18,0.438145140107328,0.152974256717218,2.868125,2.42997985989267,1.18030813643315,2,,
frame19,19,0.454192077072876,0.159531653957217,2.846125,2.39193292292712,1.18988495568557,2,,
frame20,20,0.467512171028779,0.164321075766378,2.83523529411765,2.36772312308887,1.19745221325493,2,,
frame21,21,0.421655400628428,0.150215879903483,2.8038,2.38214459937157,1.17700663542409,2,,
frame22,22,0.423595563427565,0.149217615044002,2.8275,2.40390443657243,1.17621148203027,2,,
frame23,23,0.496043690727359,0.17517700092184,2.81925,2.32320630927264,1.21351684899765,2,,
frame24,24,0.431951964980981,0.156364634044623,2.763,2.33104803501902,1.18530375972173,2,,
frame25,25,0.451451689201117,0.161323529850505,2.7896,2.33814831079888,1.19308086108826,2,,
frame26,26,0.458356540235847,0.163718793704057,2.7924,2.33404345976415,1.1963787513546,2,,
frame27,27,0.581314699409094,0.205741476875274,2.8106875,2.22937280059091,1.26075257545755,2,,
frame28,28,0.508736246558355,0.182201866881783,2.7854,2.27666375344165,1.22345690960701,2,,
frame29,29,0.428301341584839,0.15230561494106,2.79326666666667,2.36496532508183,1.18110258828849,2,,
frame30,30,0.468458908146942,0.168224807440593,2.77313333333333,2.30467442518639,1.20326467939568,2,,
frame31,31,0.426154655172297,0.152372348042619,2.7774375,2.3512828448277,1.18124346720334,2,,
frame32,32,0.445797034917007,0.158213567057419,2.7878125,2.34201546508299,1.19034760511336,2,,
frame33,33,0.351369449179657,0.125296118467512,2.76026666666667,2.40992353794034,1.14537520515101,2,,
frame34,34,0.489043505901875,0.17191816000529,2.803,2.31395649409812,1.21134516018309,2,,
frame35,35,0.491942740350273,0.173411432262043,2.79176470588235,2.29982196553208,1.21390470554814,2,,
frame36,36,0.521593467417145,0.183813442318181,2.79758823529412,2.27599476787697,1.22917164607706,2,,
frame37,37,0.440207000802332,0.154240184965004,2.799375,2.35916799919767,1.18659417258629,2,,
frame38,38,0.439925005886486,0.154922198071321,2.79270588235294,2.35278087646646,1.18698086604104,2,,
frame39,39,0.493829695151885,0.172293798260466,2.80647058823529,2.31264089308341,1.21353496629279,2,,
frame40,40,0.499248670905336,0.174866325405856,2.7994375,2.30018882909466,1.21704682006557,2,,
frame41,41,0.554353221611238,0.194318282864901,2.80511764705882,2.25076442544759,1.24629553201731,2,,
frame42,42,0.529775176293047,0.183833550236838,2.81317647058824,2.28340129429519,1.23201141981334,2,,
frame43,43,0.62417496487786,0.21967564382229,2.7953125,2.17113753512214,1.28748752890164,2,,
frame44,44,0.445818894103424,0.155687428948213,2.79825,2.35321951861655,1.18911558308214,2,,
frame45,45,0.525206012714438,0.185902768124724,2.7850625,2.25985648728556,1.23240679913497,2,,
frame46,46,0.505064775803722,0.177119430021445,2.80158823529412,2.2965234594904,1.21992580729648,2,,
frame47,47,0.561837297389578,0.199148136181809,2.7870625,2.22522520261042,1.252485589652,2,,
frame48,48,0.624047961827357,0.219798775806115,2.80664705882353,2.18259909699617,1.28591964629978,2,,
frame49,49,0.4676004850138,0.164709073210418,2.79870588235294,2.33110539733914,1.20059173881522,2,,
frame50,50,0.491379743156857,0.169381767961449,2.83523529411765,2.34385555096079,1.20964591566039,2,,
frame51,51,0.64744829624044,0.226122715202198,2.82282352941176,2.17537523317132,1.29762603084185,2,,
frame52,52,0.528424297080854,0.185470383035707,2.809,2.28057570291915,1.23170653638223,2,,
frame53,53,0.59075265193991,0.206708195493976,2.81511764705882,2.22436499511891,1.26558260592854,2,,
frame54,54,0.558777623452853,0.194414857995757,2.83105882352941,2.27228120007656,1.24591041964086,2,,
frame55,55,0.483753020848847,0.167389226725754,2.83311764705882,2.34936462620998,1.20590802102492,2,,
frame56,56,0.500446446008282,0.172755697159689,2.83688235294118,2.33643590693289,1.21419224234798,2,,
frame57,57,0.594557572845877,0.204217051761971,2.85776470588235,2.26320713303648,1.26270577012904,2,,
frame58,58,0.611638605055605,0.209922918309028,2.86094117647059,2.24930257141498,1.27192366773085,2,,
frame59,59,0.530965161560293,0.16588951970792,2.88882352941176,2.39689121240185,1.2052376488614,2,,
frame60,60,0.526990261923895,0.177343142294447,2.90141176470588,2.37442150278199,1.22194469739532,2,,
frame61,61,0.487153789237061,0.136761312378873,2.91329411764706,2.50037402660082,1.16514332921926,2,,
frame62,62,0.497852936819834,0.118588236754798,2.92464705882353,2.56563289694299,1.13993200754025,2,,
frame63,63,0.597647694447979,0.198830564536647,2.94706666666667,2.34941897221869,1.25438106251589,2,,
frame64,64,0.717605924854304,0.238214934088639,2.9656,2.2479940751457,1.31922055880321,2,,
frame65,65,0.564745075509625,0.17069982329692,2.99275,2.4759910110409,1.20870794225616,2,,
frame66,66,0.639872677773233,0.208514459863458,3.01394117647059,2.37406849869736,1.26952578585004,2,,
frame67,67,0.623508660350725,0.17757408789037,3.032,2.49178707207056,1.21679738769996,2,,
