,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number,,,,,,,,
frame1,1,0.450165385360184,0.343892198460723,1.305,0.854834614639816,1.52661108669524,4,,,,,,,,
frame2,2,NaN,NaN,NaN,NaN,NaN,4,,,,,,,,
frame3,3,0.338840531389477,0.289113081390339,1.172,0.833159468610523,1.40669348924831,4,,,,,,,,
frame4,4,0.270550894062074,0.232631895152256,1.163,0.892449105937926,1.30315554384217,4,,,,,,,,
frame5,5,0.33415018559954,0.282749403201844,1.1795,0.84534981440046,1.39528036785165,4,,,,,,,,
frame6,6,0.271701697903109,0.232044539107514,1.168,0.89629830209689,1.30313757960655,4,,,,,,,,
frame7,7,0.277468330668058,0.242118962188532,1.146,0.868531669331942,1.31946829397883,4,,,,,,,,
frame8,8,0.295195858590489,0.25849024394964,1.142,0.846804141409511,1.34859992311697,4,,,,,,,,
frame9,9,0.431330746815622,0.372341953350977,1.157,0.725669253184378,1.594390274802,4,,,,,,,,
frame10,10,0.311628306775366,0.270068435162826,1.1525,0.840871693224634,1.37060149519401,4,,,,,,,,
frame11,11,0.376739812977398,0.326291780772004,1.1535,0.776760187022602,1.485014318797,4,,,,,,,,
frame12,12,0.328738637708496,0.285634822104715,1.1495,0.820761362291504,1.40052889038378,4,,,,,,,,
frame13,13,0.255573926159278,0.220446133881707,1.158,0.902426073840722,1.28320760399969,4,,,,,,,,
frame14,14,4.45055413139514,-1.54640518811506,2.878,7.32855413139514,0.392710478547303,4,,,,,,,,
frame15,15,0.248335629284374,0.212952366377222,1.1645,0.916164370715626,1.2710601254777,4,,,,,,,,
frame16,16,0.294462192491706,0.253560029711864,1.16,0.865537807508293,1.34020719827295,4,,,,,,,,
frame17,17,0.291199142407094,0.249842862373354,1.1635,0.872300857592906,1.33382879298165,4,,,,,,,,
frame18,18,0.255134663144948,0.218034803359768,1.169,0.913865336855052,1.27918190225155,4,,,,,,,,
frame19,19,0.249930736575743,0.213740760491693,1.168,0.918069263424257,1.27223516409158,4,,,,,,,,
frame20,20,0.321843396178203,0.273935466379546,1.1735,0.851656603821797,1.37790277763823,4,,,,,,,,
frame21,21,0.300560273204599,0.252926787931774,1.1865,0.885939726795401,1.33925589305243,4,,,,,,,,
frame22,22,0.19134963352041,0.160672746157253,1.1895,0.99815036647959,1.19170421606445,4,,,,,,,,
frame23,23,0.300954489596464,0.251859335594793,1.1945,0.893545510403536,1.336809357881,4,,,,,,,,
frame24,24,0.655509211427993,-0.19313033350953,1.22366666666667,1.47337905602609,0.83051721256787,4,,,,,,,,
frame25,25,0.358798630889792,0.09090752180951,1.19575,1.08975360112254,1.09726639009797,4,,,,,,,,
