,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number,,,
frame1,1,0.603338436413624,0.202973519106318,2.99753333333333,2.39419489691971,1.25200055233175,2,,,
frame2,2,0.518162174600824,0.174621631119135,2.98773333333333,2.46957115873251,1.20981868563235,2,,,
frame3,3,0.557661008801933,0.189285423750147,2.96253333333333,2.4048723245314,1.23188798969217,2,,Average RMS,std
frame4,4,0.575664607278152,0.195868421152739,2.95633333333333,2.38066872605518,1.24180794285984,2,,0.701516713030678,0.451980178446673
frame5,5,0.635971842299981,0.216436355768003,2.95146666666667,2.31549482436669,1.27465915086808,2,,,
frame6,6,0.518489853539544,0.176976423926619,2.95693333333333,2.43844347979379,1.21263148308994,2,,Average scaling factor,std
frame7,7,0.463647645043778,0.15884735443986,2.9366,2.47295235495622,1.18748749611554,2,,1.21782690992761,0.296212673745465
frame8,8,0.592914996397217,0.204170904969533,2.9352,2.34228500360278,1.25313529117303,2,,,
frame9,9,0.566238240796817,0.195469861245109,2.91833333333333,2.35209509253652,1.24073781820878,2,,,
frame10,10,0.588904393000693,0.205270527008503,2.89071428571429,2.30180989271359,1.25584406204217,2,,,
frame11,11,0.538530824892179,0.186163484474283,2.90523076923077,2.36669994433859,1.22754503636188,2,,,
frame12,12,0.604491075107581,0.210375592611256,2.88542857142857,2.28093749632099,1.26501869344626,2,,,
frame13,13,0.541875449098325,0.188524597459281,2.89092307692308,2.34904762782475,1.23067878346941,2,,,
frame14,14,0.591672840919936,0.203590322747387,2.91058333333333,2.3189104924134,1.25515121987488,2,,,
frame15,15,0.633651284521427,0.221299665138481,2.8722,2.23854871547857,1.28306343308055,2,,,
frame16,16,0.483614991815944,0.169629764325782,2.863,2.37938500818406,1.20325209671933,2,,,
frame17,17,0.484932594222146,0.171364253062952,2.85033333333333,2.36540073911119,1.20501075619193,2,,,
frame18,18,0.457311892164057,0.160398899401584,2.868125,2.41081310783594,1.18969197184039,2,,,
frame19,19,0.485913799051095,0.171886866388714,2.846125,2.3602112009489,1.2058772532118,2,,,
frame20,20,0.580739610399091,0.20521005142461,2.83523529411765,2.25449568371856,1.25759180405315,2,,,
frame21,21,0.517932026831678,0.185927083072506,2.8038,2.28586797316832,1.22658002689184,2,,,
frame22,22,0.502275793561014,0.17934121182609,2.8275,2.32522420643899,1.21601176874476,2,,,
frame23,23,0.566123594992932,0.201982913268823,2.81925,2.25312640500707,1.2512613556589,2,,,
frame24,24,0.670734235813065,0.244692622738746,2.763,2.09226576418694,1.32057793388103,2,,,
frame25,25,0.665456116521342,0.239554204155231,2.7896,2.12414388347866,1.3132820340925,2,,,
frame26,26,0.638274969860019,0.229586271589507,2.7924,2.15412503013998,1.29630358541377,2,,,
frame27,27,0.803742528740927,0.285693887289795,2.8106875,2.00694497125907,1.40048060123776,2,,,
frame28,28,0.701950880208289,0.252723378396675,2.7854,2.08344911979171,1.33691769745664,2,,,
frame29,29,0.789305784271303,0.283458713631753,2.79326666666667,2.00396088239536,1.39387285011663,2,,,
frame30,30,0.897085093788273,0.324859907729212,2.77313333333333,1.87604823954506,1.47817805261011,2,,,
frame31,31,0.943393653590597,0.343034952050498,2.7774375,1.8340438464094,1.5143790075889,2,,,
frame32,32,0.91232207270749,0.327521247635976,2.7878125,1.87549042729251,1.48644453708278,2,,,
frame33,33,0.938750459039973,0.340702184017716,2.76026666666667,1.82151620762669,1.51536761249196,2,,,
frame34,34,0.894316098269464,0.318704216967828,2.803,1.90868390173054,1.4685511820258,2,,,
frame35,35,0.846869053004365,0.302056172588027,2.79176470588235,1.94489565287799,1.43543161390237,2,,,
frame36,36,0.863012576060071,0.306908323609316,2.79758823529412,1.93457565923405,1.44609915975153,2,,,
