,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number
frame1,1,2.9906288459793973,0.9998538702794181,2.9910666666666668,0.0004378206872691711,6831.716165179208,2
frame2,2,2.9806396953829255,0.9998569740950322,2.9810666666666665,0.0004269712837412953,6981.8903054682105,2
frame3,3,2.9562463635574874,0.9998579427534376,2.9566666666666666,0.00042030310917956135,7034.605745453868,2
frame4,4,2.9473907394719934,0.9998611131695235,2.9478000000000004,0.0004092605280069013,7202.746901480546,2
frame5,5,2.9418511332891892,0.9998585734643658,2.9422666666666677,0.00041553337747852006,7080.698750412079,2
frame6,6,2.9589707973533224,0.9998633206902943,2.959375,0.00040420264667773154,7321.51316752632,2
frame7,7,2.9260629090986843,0.9998620032725658,2.9264666666666677,0.0004037575679831207,7248.078794622149,2
frame8,8,2.9238153279207646,0.9998683300404643,2.9242,0.0003846720792353153,7601.79944906056,2
frame9,9,2.9109602264178296,0.999871706601974,2.9113333333333333,0.0003731069155037403,7802.946588118514,2
frame10,10,2.8799849788974305,0.9998706814401573,2.880357142857143,0.00037216395971232226,7739.484352766508,2
frame11,11,2.881348743285535,0.9998729920414288,2.8817142857142857,0.00036554242875094393,7883.392074515356,2
frame12,12,2.8840694339941257,0.9998753090145487,2.884428571428572,0.00035913743444585374,8031.545293737542,2
frame13,13,2.870470057494522,0.9998650491714838,2.8708571428571426,0.0003870853626202526,7416.599592978092,2
frame14,14,2.871327791238419,0.9998654211638067,2.8717142857142854,0.00038649447586586963,7430.156095454506,2
frame15,15,2.870227705009577,0.9998701713902396,2.8706000000000005,0.0003722949904234459,7710.552314268313,2
frame16,16,2.849226334787657,0.9998687578931251,2.8496,0.0003736652123431365,7626.077852233177,2
frame17,17,2.8733178564821578,0.9998711699599591,2.8736875000000004,0.0003696435178426327,7774.213157508709,2
frame18,18,2.8647016312106426,0.9998738441940642,2.8650625,0.00036086878935748246,7939.346888660473,2
frame19,19,2.850255902437275,0.9998702536402204,2.850625,0.00036909756272507366,7723.228999274967,2
frame20,20,2.804570241063352,0.9998703344474954,2.804933333333333,0.00036309226998128,7725.125443948305,2
frame21,21,2.8034362760371994,0.9998701413356248,2.8038000000000003,0.00036372396280057726,7708.593017659573,2
frame22,22,2.8245737211594415,0.9998697379552015,2.8249411764705883,0.00036745531114694825,7687.849626266178,2
frame23,23,2.796756304699506,0.9998680262161688,2.7971250000000003,0.0003686953004944371,7586.549099619466,2
frame24,24,2.7932334004468133,0.9998685074386152,2.7936,0.0003665995531870673,7620.3038866621055,2
frame25,25,2.8099943718106952,0.9998642123095238,2.810375,0.00038062818930484354,7383.517771326134,2
frame26,26,2.8268876641429377,0.9998713140243297,2.82725,0.0003623358570621349,7802.843535618312,2
frame27,27,2.7993871091237965,0.9998701477211269,2.7997500000000004,0.0003628908762038918,7715.1292126367725,2
frame28,28,2.7778925339741107,0.999871120250617,2.77825,0.00035746602588915266,7772.067270139716,2
frame29,29,2.7730314427970604,0.9998668936782937,2.7734000000000005,0.00036855720294018586,7525.019122879829,2
frame30,30,2.767838363711226,0.9998690670070961,2.7682,0.00036163628877451025,7654.652162759157,2
frame31,31,2.782577013425791,0.9998700646222914,2.7829375,0.0003604865742090624,7719.94770153645,2
frame32,32,2.786145321011485,0.9998723377353507,2.7864999999999998,0.00035467898851493374,7856.399984863142,2
frame33,33,2.7813312271256585,0.9998714832725483,2.7816875000000003,0.000356272874341812,7807.744289090108,2
frame34,34,2.790643932260369,0.9998718246363719,2.791,0.0003560677396308165,7838.396151512648,2
frame35,35,2.7877605758848163,0.9998713434671835,2.7881176470588236,0.0003570711740073474,7808.296636685248,2
frame36,36,2.77557923564149,0.999870421708861,2.7759375000000004,0.0003582643585104961,7748.2937782064455,2
frame37,37,2.777210625607564,0.9998727208779032,2.7775625,0.0003518743924360024,7893.619313332592,2
frame38,38,2.769526500056643,0.9998736169763391,2.769875,0.0003484999433567282,7947.992683501607,2
frame39,39,2.7814702122586725,0.999872296126536,2.781823529411765,0.0003533171530922546,7873.446010376414,2
frame40,40,2.796208447405952,0.9998726473838203,2.7965625,0.00035405259404797107,7898.720548905482,2
frame41,41,2.8036394934496496,0.9998704614502428,2.8040000000000003,0.0003605065503506921,7777.944665006326,2
frame42,42,2.803888060960933,0.9998701614934286,2.8042499999999997,0.00036193903906678315,7747.851702403878,2
frame43,43,2.821946416446131,0.9998760321320658,2.8222941176470586,0.00034770120092777204,8117.009979017397,2
frame44,44,2.80746555789193,0.9998718143836349,2.8078235294117646,0.00035797151983441673,7843.706478969476,2
frame45,45,2.78194110169122,0.9998726220769022,2.7822941176470586,0.00035301595583886783,7881.496775508417,2
frame46,46,2.79717426224472,0.9998724035947669,2.797529411764706,0.0003551495199858704,7877.046861490916,2
frame47,47,2.786938029009808,0.9998717128340724,2.7872941176470594,0.0003560886372510782,7827.528952241567,2
frame48,48,2.797883395896129,0.999873684978354,2.798235294117647,0.00035189822151818694,7951.831305214561,2
frame49,49,2.7912206859536304,0.9998677744440954,2.7915882352941175,0.0003675493404871839,7595.138741356162,2
frame50,50,2.8082259562721283,0.9998703696753488,2.8085882352941174,0.00036227902198922546,7752.555529913205,2
frame51,51,2.8115253632955586,0.9998723731340594,2.811882352941177,0.00035698964561828794,7876.649610021992,2
frame52,52,2.8064593628094916,0.9998696782015914,2.8068235294117647,0.00036416660227319775,7707.525928767312,2
frame53,53,2.8220623111616105,0.9998755853246939,2.822411764705882,0.000349453544271562,8076.64369405443,2
frame54,54,2.833344700593296,0.9998718982895665,2.833705882352941,0.0003611817596452858,7845.650580848558,2
frame55,55,2.8385281007282352,0.9998744966262902,2.838882352941176,0.0003542522129410987,8013.732163793696,2
frame56,56,2.8421657962383264,0.9998713464117924,2.8425294117647057,0.00036361552637946955,7817.403838796034,2
frame57,57,2.8569861261598657,0.999870843955767,2.8573529411764707,0.00036681501660495996,7789.629136840071,2
frame58,58,2.860633359496811,0.999870951579828,2.8610000000000007,0.00036664050318958126,7803.284075574826,2
frame59,59,2.8842251197612736,0.9998734294809777,2.884588235294118,0.00036311553284416306,7943.995710401311,2
frame60,60,2.8979284724863112,0.9998731002927762,2.898294117647059,0.00036564516074791113,7926.521198089224,2
frame61,61,2.9014237952836486,0.9998613866700774,2.9018235294117645,0.00039973412811591784,7259.38398877534,2
frame62,62,2.92076125191778,0.9998568600420538,2.9211764705882355,0.0004152186704553006,7035.272444240216,2
frame63,63,2.9678383147903467,0.9998658159693018,2.9682352941176466,0.00039697932729990603,7477.052556631578,2
frame64,64,2.9779103166351977,0.9998706633291619,2.978294117647059,0.00038380101186168543,7759.995480992582,2
frame65,65,3.002900067125529,0.9998684382348881,3.0032941176470587,0.00039405052152955355,7621.596606418432,2
frame66,66,3.005180254498059,0.9998639162408525,3.005588235294118,0.00040798079605926485,7366.984584385964,2
frame67,67,3.0444665325575864,0.999863618453463,3.044882352941176,0.0004158203835900435,7322.590409476222,2
frame68,68,3.0551439780193954,0.9998736308154264,3.055529411764706,0.00038543374531025836,7927.508810379667,2
frame69,69,3.06782283735057,0.9998611640745575,3.06825,0.00042716264943010174,7182.861151585936,2
frame70,70,3.0757718207615232,0.999868153307882,3.076176470588235,0.00040464982671170114,7602.070401428598,2
frame71,71,3.0808622190475,0.9998595631790553,3.081294117647059,0.0004318985995590029,7134.299858330784,2
frame72,72,3.0937355474746404,0.9998572750209521,3.0941764705882355,0.0004409231135950369,7017.496645526419,2
frame73,73,3.128990194256883,0.9998472061907241,3.1294705882352942,0.00048039397841100306,6514.383462063012,2
frame74,74,3.1378284711256654,0.9998520518260039,3.1382941176470593,0.00046564652139375755,6739.64901155843,2
frame75,75,3.138839816500693,0.9998551788948717,3.139294117647059,0.0004543011463658117,6910.161118368037,2
frame76,76,3.1500707758373365,0.9998545682986277,3.150529411764706,0.0004586359273697085,6869.347174420223,2
frame77,77,3.175780022735173,0.9998565136528025,3.176235294117647,0.0004552713824737379,6976.575766435015,2
frame78,78,3.1951310273427653,0.9998567126828666,3.195588235294118,0.00045720795135232895,6989.354025541796,2
frame79,79,3.195357933503954,0.999857500476605,3.1958125,0.00045456649604602717,7030.4620507632135,2
frame80,80,3.2151642415221433,0.9998562585816881,3.215625,0.00046075847785687074,6978.981732374975,2
frame81,81,3.2335459502610817,0.999859049991805,3.234,0.00045404973891837635,7122.567689839307,2
frame82,82,3.245189474701744,0.9998587351036948,3.245647058823529,0.0004575841217849623,7093.006300486958,2
frame83,83,3.256603305536487,0.9998599816102347,3.257058823529412,0.000455517992925118,7150.230889045991,2
frame84,84,3.276325902558233,0.9998656920494786,3.276764705882353,0.0004388033241197905,7467.502012331651,2
frame85,85,3.3013166985112266,0.9998638043270286,3.3017647058823525,0.00044800737112596193,7369.88924442055,2
frame86,86,3.287636366727587,0.9998699558111813,3.2880624999999997,0.0004261332724126987,7716.042639391929,2
frame87,87,3.3179463848584274,0.9998704323606751,3.318375,0.00042861514157266356,7742.085330500236,2
frame88,88,3.3400607548571632,0.9998769415908396,3.3404705882352945,0.0004098333781311179,8150.801683035632,2
frame89,89,3.377442081895479,0.9998694445237294,3.377882352941177,0.00044027104569763383,7672.279124303383,2
